2020-06-10 22:24:49,745 - Controller1 - INFO - time:7.93,x_mes:15.00,y_mes:0.00,alpha_mes:2.32,beta_mes:0.70,x_target:15.00,y_target:0.00,alpha_target:2.42,beta_target:1.66,x_command:0.00,y_command:0.00,alpha_command:0.40,beta_command:1.00
2020-06-10 22:24:49,745 - Controller1 - INFO - time:7.93,x_mes:15.00,y_mes:0.00,alpha_mes:2.38,beta_mes:0.73,x_target:15.00,y_target:0.00,alpha_target:2.42,beta_target:1.66,x_command:0.00,y_command:0.00,alpha_command:0.15,beta_command:1.00
2020-06-10 22:24:50,083 - Controller1 - INFO - time:8.27,x_mes:15.00,y_mes:0.00,alpha_mes:2.40,beta_mes:0.75,x_target:15.00,y_target:0.00,alpha_target:2.16,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.95,beta_command:-0.63
2020-06-10 22:24:50,083 - Controller1 - INFO - time:8.27,x_mes:15.00,y_mes:0.00,alpha_mes:2.25,beta_mes:0.73,x_target:15.00,y_target:0.00,alpha_target:2.16,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.35,beta_command:-0.59
2020-06-10 22:24:50,489 - Controller1 - INFO - time:8.68,x_mes:15.00,y_mes:0.00,alpha_mes:2.21,beta_mes:0.72,x_target:15.00,y_target:0.00,alpha_target:2.11,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.39,beta_command:-0.56
2020-06-10 22:24:50,490 - Controller1 - INFO - time:8.68,x_mes:15.00,y_mes:0.00,alpha_mes:2.15,beta_mes:0.70,x_target:15.00,y_target:0.00,alpha_target:2.11,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.14,beta_command:-0.52
2020-06-10 22:24:50,490 - Controller1 - INFO - time:8.68,x_mes:15.00,y_mes:0.00,alpha_mes:2.13,beta_mes:0.68,x_target:15.00,y_target:0.00,alpha_target:2.11,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.05,beta_command:-0.49
2020-06-10 22:24:50,836 - Controller1 - INFO - time:9.02,x_mes:15.00,y_mes:0.00,alpha_mes:2.13,beta_mes:0.68,x_target:15.00,y_target:0.00,alpha_target:2.05,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.29,beta_command:-0.48
2020-06-10 22:24:50,836 - Controller1 - INFO - time:9.02,x_mes:15.00,y_mes:0.00,alpha_mes:2.08,beta_mes:0.66,x_target:15.00,y_target:0.00,alpha_target:2.05,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.11,beta_command:-0.45
2020-06-10 22:24:51,199 - Controller1 - INFO - time:9.39,x_mes:15.00,y_mes:0.00,alpha_mes:2.07,beta_mes:0.65,x_target:15.00,y_target:0.00,alpha_target:1.99,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.30,beta_command:-0.43
